""
"X                       phi (V)"
"0                         0"
"0.3999999999999998        -6.141794544829246E-14"
"0.7999999999999996        -1.228358908965849E-13"
"1.1999999999999997        -1.8425383634487738E-13"
"1.5999999999999992        -2.4567178179316976E-13"
"1.9999999999999991        -3.070897272414618E-13"
"2.3999999999999995        -3.6850767268975405E-13"
"2.7999999999999985        -4.2992561813804645E-13"
"3.1999999999999984        -4.913435635863395E-13"
"3.5999999999999988        -5.527615090346332E-13"
"3.9999999999999982        -6.141794544829262E-13"
"4.399999999999999         -6.755973999312188E-13"
"4.799999999999999         -7.370153453795117E-13"
"5.199999999999998         -7.984332908278042E-13"
"5.599999999999997         -8.59851236276097E-13"
"5.999999999999998         -9.212691817243904E-13"
"6.399999999999997         -9.826871271726833E-13"
"6.799999999999998         -1.0441050726209753E-12"
"7.1999999999999975        -1.1055230180692678E-12"
"7.599999999999996         -1.1669409635175604E-12"
"7.9999999999999964        -1.2283589089658527E-12"
"8.399999999999999         -1.2897768544141443E-12"
"8.799999999999997         -1.3511947998624351E-12"
"9.199999999999996         -1.4126127453107246E-12"
"9.599999999999996         -1.4740306907590136E-12"
"9.999999999999996         -1.5354486362073028E-12"
"10.399999999999997        0.0014476102532391458"
"10.799999999999994        0.005790441017685718"
"11.199999999999994        0.013028492291804344"
"11.599999999999993        0.023161764075595"
"11.999999999999993        0.03619025636905771"
"12.399999999999993        0.052113969172192486"
"12.799999999999994        0.07093290248499934"
"13.199999999999987        0.09264705630747787"
"13.599999999999987        0.11725643063962883"
"13.999999999999991        0.1447610254814521"
"14.399999999999993        0.17516084083294747"
"14.799999999999988        0.20845587669411444"
"15.199999999999989        0.24464613306495384"
"15.599999999999989        0.2837316099454654"
"15.99999999999999         0.3257123073356493"
"16.399999999999988        0.37058822523550544"
"16.79999999999999         0.4183593636450339"
"17.19999999999999         0.46902572256423464"
"17.59999999999999         0.5225873019931073"
"17.99999999999999         0.5790441019316526"
"18.39999999999999         0.6383961223798701"
"18.799999999999986        0.70064336333776"
"19.199999999999992        0.7657858248053232"
"19.599999999999984        0.8338235067825569"
"19.99999999999999         0.9047564092694644"
"20.39999999999999         0.9756893117563727"
"20.799999999999986        1.043726993733608"
"21.199999999999992        1.1088694552011733"
"21.599999999999987        1.1711166961590653"
"21.999999999999986        1.2304687166072876"
"22.399999999999988        1.286925516545838"
"22.799999999999986        1.340487095974717"
"23.19999999999998         1.3911534548939246"
"23.599999999999987        1.438924593303462"
"23.999999999999982        1.4838005112033275"
"24.399999999999988        1.5257812085935216"
"24.799999999999983        1.5648666854740452"
"25.199999999999985        1.601056941844898"
"25.599999999999984        1.6343519777060809"
"25.999999999999982        1.6647517930575935"
"26.399999999999974        1.692256387899435"
"26.799999999999983        1.7168657622316061"
"27.199999999999974        1.7385799160541044"
"27.599999999999984        1.7573988493669317"
"27.999999999999982        1.7733225621700863"
"28.39999999999998         1.7863510544635701"
"28.799999999999986        1.7964843262473842"
"29.19999999999998         1.803722377521527"
"29.599999999999987        1.8080652082859991"
"29.999999999999982        1.8095128185407994"
"30.399999999999984        1.8095128185407647"
"30.799999999999986        1.8095128185407303"
"31.199999999999985        1.8095128185406988"
"31.599999999999987        1.8095128185406688"
"31.999999999999986        1.80951281854064"
"32.39999999999999         1.8095128185406113"
"32.79999999999998         1.8095128185405842"
"33.199999999999996        1.8095128185405593"
"33.599999999999994        1.8095128185405356"
"33.999999999999986        1.8095128185405112"
"34.399999999999984        1.8095128185404883"
"34.79999999999999         1.8095128185404676"
"35.19999999999999         1.809512818540449"
"35.59999999999999         1.8095128185404323"
"35.99999999999998         1.8095128185404161"
"36.39999999999999         1.8095128185404012"
"36.79999999999999         1.8095128185403877"
"37.19999999999998         1.809512818540376"
"37.59999999999999         1.8095128185403655"
"37.999999999999986        1.8095128185403566"
"38.399999999999984        1.8095128185403504"
"38.799999999999976        1.809512818540346"
"39.19999999999999         1.8095128185403433"
"39.59999999999999         1.8095128185403422"
"39.99999999999999         1.8095128185403404"
